Id,Entity_1,Entity_2,Property
1743,梶山洋一,广岛县,birthPlace
1744,李永豪,施明,parent
1745,王方庆,唐朝,birthPlace
1746,大津祐树,日本,birthPlace
1747,奥兰多·萨,巴塞卢什,birthPlace
1748,载振,溥钟,child
1749,桓冲,桓云,sibling
1750,任丽萍,北京市,birthPlace
1751,卡尔·本茨,贝尔塔·本茨,spouse
1752,索尔·坎贝尔,伦敦,birthPlace
1753,周文王,周王季,parent
1754,郑松,郑椿,child
1755,邓肯·爱德华·欧捷顿,纽西兰,birthPlace
1756,热振寺,孜聂寺,child
1757,种田孝一,东京,birthPlace
1758,长谷川治久,日本,birthPlace
1759,理查德·斯莫利,莱斯大学,workPlace
1760,康斯坦丁·康斯坦丁诺维奇·罗科索夫斯基,莫斯科,deathPlace
1761,湾仔区,陆绮华,workPlace
1762,奥托·威廉·冯·斯特鲁维,普尔科沃天文台,workPlace
1763,阮福淳,阮福㫻,sibling
1764,阿部正武,阿部正府,child
1765,仲婴齐,东门遂,parent
1766,阿部正备,高木寅纯,sibling
1767,贾森·理查德森,密歇根州,birthPlace
1768,丰田泰广,日本,birthPlace
1769,托勒密七世,克利奥帕特拉二世,parent
1770,云和公主,朱常治,sibling
1771,安东尼奥·佩亚达,西班牙,deathPlace
1772,西奥多·冯·卡门,哥廷根大学,workPlace
1773,珍·西摩,玛格丽特·温特渥斯,parent
1774,高部圣,山梨县,birthPlace
1775,崔金哲,平壤,birthPlace
1776,忻峰,上海,birthPlace
1777,松平赖真,酒井忠进,child
1778,滕尚坤,中国,birthPlace
1779,新条宏喜,东京都,birthPlace
1780,雅赫摩斯王后,妮斐鲁碧提,child
1781,饭塚浩记,日本,birthPlace
1782,罗伯特·梅特卡夫,德克萨斯州大学奥斯汀分校,workPlace
1783,高腾蛟,高志远,child
1784,李源潮,高建进,spouse
1785,马马杜·沙高,法国,birthPlace
1786,北条幻庵,北条氏纲,sibling
1787,若泽·博辛瓦,金沙萨,birthPlace
1788,穆罕默德·加努希,苏塞,birthPlace
1789,霍英东,霍震寰,child
1790,新马师曾,洪金梅,spouse
1791,阿瑟·科恩伯格,加州大学柏克莱分校,workPlace
1792,肖恩·梅,芝加哥,birthPlace
1793,姚俊,上海,birthPlace
1794,曹里怀,北京,deathPlace
1795,杨文欣,杨天生,parent
1796,李晓挺,中国,birthPlace
1797,浅井亮政,浅井高政,child
1798,董浩云,顾丽真,spouse
1799,沙田区,何丽嫦,workPlace
1800,松永硕,日本,birthPlace
1801,杜帅帅,中国,birthPlace
1802,罗克·圣克鲁斯,亚松森,birthPlace
1803,黄权,黄邕,child
1804,曹诚英,上海,deathPlace
1805,卡里姆·本泽马,法国,birthPlace
1806,岛津忠恒,岛津忠纪,child
1807,陈健星,澳门,birthPlace
1808,黑崎久志,日本,birthPlace
1809,佟国维,孝康章皇后,sibling
1810,罗念生,马宛颐,spouse
1811,西蒙·凯尔,霍森斯,birthPlace
1812,崇源院,德川珠姬,child
1813,达高·哥达斯,奥西耶克,birthPlace
1814,费正清,费慰梅,spouse
1815,梅赫迪·纳夫蒂,法国,birthPlace
1816,井野亚季子,日本,birthPlace
1817,赵学斌,大连,birthPlace
1818,盖德·穆勒,讷德林根,birthPlace
1819,纟井重里,樋口可南子,spouse
1820,陈仁宗,陈氏韶,parent
1821,谢枋得,谢葵英,child
1822,徐炳麟,香港,deathPlace
1823,吴珊卓,亚历山大·潘恩,spouse
1824,平林俊夫,日本,birthPlace
1825,周武王,太姒,parent
1826,邵维铭,邵逸夫,parent
1827,阮福永贞,范登述,spouse
1828,织田信长,织田秀孝,sibling
1829,雅琦,李子雄,spouse
1830,杨宝坤,香港,birthPlace
1831,孝景王皇后,王信,sibling
1832,竹腰重丸,日本,birthPlace
1833,曹真,曹训,child
1834,北白川道久,岛津庆子,spouse
1835,大野贵史,大坂府,birthPlace
1836,魏新,重庆,birthPlace
1837,法比奥·罗申巴克,巴西,birthPlace
1838,阎循玮,许亚芬,spouse
1839,增田誓志,日本,birthPlace
1840,北川进,京都大学,workPlace
1841,奥朗则布,姬蔓·芭奴,parent
1842,罗比·沙维治,雷克瑟姆,birthPlace
1843,马英九,周美青,spouse
1844,简浩,台湾,birthPlace
1845,池田司信,静冈县,birthPlace
1846,山崎实,华盛顿州,birthPlace
1847,丹尼尔·克莱普纳,麻省理工学院,workPlace
1848,教如,石山本愿寺,workPlace
1849,华国锋,韩芝俊,spouse
1850,哥迪奥·卢比斯,阿根廷,birthPlace
1851,君士坦丁五世,君士坦丁堡,birthPlace
1852,卡尔·科伦斯,德皇威廉协会,workPlace
1853,乔治·莱考夫,柏克莱加州大学,workPlace
1854,施蛰存,上海,deathPlace
1855,路木龙次,日本,birthPlace
1856,松平赖恕,真田幸教,child
1857,福阿德二世,法鲁克一世,parent
1858,亚历山大大帝,奥林匹亚丝,parent
1859,织田信长,织田信行,sibling
1860,阿瑟·莱文森,华盛顿州,birthPlace
1861,向岛建,静冈县,birthPlace
1862,郭沫若,郭淑瑀,child
1863,俞正声,范瑾,parent
1864,王冶坪,江绵恒,child
1865,埃姆林·休斯,英格兰,deathPlace
1866,路德维希·蒙德,德国,birthPlace
1867,阿部正备,阿部正静,child
1868,仙石秀久,仙石久隆,child
1869,水岛昇,东京大学,workPlace
1870,松代直树,日本,birthPlace
1871,坪田和美,长崎县,birthPlace
1872,罗尔德·亚孟森,延斯·亚孟森,parent
1873,加藤久,宫城县,birthPlace
1874,中道瞳,日本,birthPlace
1875,岛津齐兴,种子岛久珍,sibling
1876,郑楹,郑棣,child
1877,加雷斯·埃文斯,威尔士,birthPlace
1878,淑嫔崔氏,朝鲜肃宗,spouse
1879,曹彰,王昌,child
1880,马磊磊,中国,birthPlace
1881,南沙公主,袁宪,spouse
1882,马中珮,台湾,birthPlace
1883,史蒂芬·古尔德,美国自然历史博物馆,workPlace
1884,古斯塔沃·罗达斯,阿根廷,birthPlace
1885,麦保美,喀麦隆,birthPlace
1886,诸葛瑾,诸葛恪,child
1887,平阳昭公主,柴令武,child
1888,米高·禾姆,荷兰,birthPlace
1889,帝乙,宋微子启,child
1890,耶纳德·梅亚德,卢顿,birthPlace
1891,仲哀天皇,麛坂皇子,child
1892,德川宗武,德川乙菊,child
1893,李岗,李昇,parent
1894,海登·穆林斯,雷丁,birthPlace
1895,溥杰,嫮生,child
1896,襄阳长公主,窦贤,child
1897,蒋孝武,蔡惠媚,spouse
1898,万巴德,香港西医书院,workPlace
1899,中川翔子,中川桂子,parent
1900,坦内,频耶,parent
1901,孝贤纯皇后,乾隆帝皇长女,child
1902,维尔纳·海森堡,柏林洪堡大学,workPlace
1903,辛在勤,中央研究院,workPlace
1904,约翰·卡维,挪威,birthPlace
1905,爱德华·泰勒,哥廷根大学,workPlace
1906,平冈宏章,静冈县,birthPlace
1907,山口智,日本,birthPlace
1908,陈思荣,中国,birthPlace
1909,褚英,清太祖皇八女,sibling
1910,谷名伦,陈丽云,parent
1911,松平赖真,松平赖仪,child
1912,田秀英,明思宗,spouse
1913,蒋孝武,蒋经国,parent
1914,齐藤武志,日本,birthPlace
1915,万里,边涛,spouse
1916,平都公主,定陶共王,sibling
1917,耶律岩母菫,萧胡睹,spouse
1918,阿部正敏,森俊韶正,child
1919,偪姞,晋文公,spouse
1920,丰臣秀胜,丰臣秀次,sibling
1921,佐佐木博和,冈山县,birthPlace
1922,孝靖太后,明神宗,spouse
1923,园子温,神乐坂惠,spouse
1924,尤里西·塞德尔,维也纳,birthPlace
1925,郑芝龙,田川七左衞门,child
1926,蒋硕杰,国际货币基金组织,workPlace
1927,松平赖仪,松平赖该,child
1928,关索,关平,sibling
1929,杰佛瑞·马西,卡内基科学研究院,workPlace
1930,雅各布·库恩,苏黎世,birthPlace
1931,李继韬,后唐,deathPlace
1932,共松共赞,吐谷浑,spouse
1933,织田信秀,织田信康,sibling
1934,黄敬,范瑾,spouse
1935,清水和男,日本,birthPlace
1936,梅兰芳,福芝芳,spouse
1937,赤松德赞,赤德松赞,child
1938,马修·厄普森,萨福克郡,birthPlace
1939,朝鲜世祖,临瀛大君,sibling
1940,里奇·卢比奥,巴塞隆拿省,birthPlace
1941,阿巴泰,莽古济,sibling
1942,洪天明,洪金宝,parent
1943,米田贺,长春,birthPlace
1944,平野孝,日本,birthPlace
1945,曾文惠,李宪文,child
1946,奥原崇,日本,birthPlace
1947,高木和道,滋贺县,birthPlace
1948,山本昌邦,日本,birthPlace
1949,白荣泽,中国,birthPlace
1950,咸宁公主,明仁宗,sibling
1951,东川昌典,石川县,birthPlace
1952,浅井政之,浅井长政,sibling
1953,马蒂亚斯·马谢罗,蒙得维的亚,birthPlace
1954,久保政二,茨城县,birthPlace
1955,李裕灐,北韩,birthPlace
1956,琳·马古利斯,波士顿大学,workPlace
1957,索格一世,塞迪杰·托普塔尼,parent
1958,萨孟武,台大医院,deathPlace
1959,李银河,王小波,spouse
1960,图雅,梯奥公主,child
1961,易纲,北京,birthPlace
1962,久高友雄,日本,birthPlace
1963,土肥洋一,熊本市,birthPlace
1964,北畠显家,北畠师显,child
1965,胡文虎,胡好,child
1966,德川赖宣,德川秀忠,sibling
1967,卡福,圣保罗,birthPlace
1968,崔真喆,韩国,birthPlace
1969,辻勇,日本,birthPlace
1970,爱德华三世,法兰西的伊莎贝拉,parent
1971,雅赫摩斯·纳菲尔泰丽,西塔蒙,child
1972,无着,印度,birthPlace
1973,李贵鲜,营口,birthPlace
1974,古斯塔夫·鲍尔,达尔克门,birthPlace
1975,丁东浩,釜山广域市,birthPlace
1976,杨丽华,杨勇,sibling
1977,廖林琨,中国,birthPlace
1978,雷奥那德·尤金·迪克逊,独立城,birthPlace
1979,加藤清正,熊本城,deathPlace
1980,臬玻穆的若望,内波穆克,birthPlace
1981,李树烊,香港,birthPlace
1982,源义经,源义圆,sibling
1983,西奥多·冯·卡门,亚琛工业大学,workPlace
1984,拉玛七世,绍瓦蓬王太后,parent
1985,河村优,静冈县,birthPlace
1986,和硕恪纯长公主,吴应熊,spouse
1987,莫里斯·布尔热·莫努里,巴黎,deathPlace
1988,东直己,北海道,birthPlace
1989,朱裕壁,李佩文,spouse
1990,坪田和美,日本,birthPlace
1991,寿庄固伦公主,奕譞,sibling
1992,路易·C·K,美国,birthPlace
1993,中岛法兰,日本,birthPlace
1994,木村荣,东京都,deathPlace
1995,宋瑛,咸宁公主,spouse
1996,李继韬,唐朝,birthPlace
1997,佐佐木道誉,佐佐木秀纲,child
1998,埃兹奎尔·加雷,阿根廷,birthPlace
1999,李方训,南京,deathPlace
2000,李文博,中国,birthPlace
2001,福永泰,日本,birthPlace
2002,本田将也,大坂府,birthPlace
2003,绍治帝,佐天仁皇后,parent
2004,大卫·希尔伯特,柯尼斯堡大学,workPlace
2005,植村映一,日本,birthPlace
2006,江原真二郎,土家里织,child
2007,尊祐法亲王,明宫,sibling
2008,许竟成,香港,deathPlace
2009,谷中治,东京都,birthPlace
2010,严可求,唐朝,birthPlace
2011,金子久,日本,birthPlace
2012,高桥真一郎,广岛县,birthPlace
2013,马克西米连·冯·魏克斯,波昂,deathPlace
2014,恩历克·华路,大溪地,birthPlace
2015,谢长廷,游芳枝,spouse
2016,李天兵,桂林,birthPlace
2017,李远哲,中央研究院,workPlace
2018,李鲲,北京,birthPlace
2019,杰拉德·古拉尼,伦敦帝国学院,workPlace
2020,哥班·古亚班洛夫,阿塞拜疆,birthPlace
2021,实谛·赛·巴巴,印度,deathPlace
2022,丸山真男,日本学士院,workPlace
2023,斯万特·帕博,马普进化人类学研究所,workPlace
2024,武田治郎,爱媛县,birthPlace
2025,雷奥那德·尤金·迪克逊,芝加哥大学,workPlace
2026,德川宗尧,德川宗翰,child
2027,仙石秀久,仙石政直,child
2028,沃夫冈·史瓦兹,维也纳,birthPlace
2029,赵简子,赵襄子,child
2030,白必图,巴西,birthPlace
2031,阿佛洛狄忒,阿波罗,sibling
2032,信修浮,达拉镇,parent
2033,阿瑞斯,赫柏,sibling
2034,田渊龙二,德岛县,birthPlace
2035,顾孝诚,北京大学生命科学学院,workPlace
2036,乔治·史密斯,贝尔实验室,workPlace
2037,雅典娜,墨提斯,parent
2038,许浚,许澂,sibling
2039,松平赖起,松平赖真,sibling
2040,何塞·本科,穆尔斯卡索博塔,birthPlace
2041,小野不由美,绫辻行人,spouse
2042,平时子,平清盛,spouse
2043,共松共赞,芒松芒赞,child
2044,孝庄文皇后,敏惠恭和元妃,sibling
2045,魏武子,魏颗,child
2046,新马师曾,梁添添,spouse
2047,约瑟夫·贝克,波兰,birthPlace
2048,让·阿兰·布姆松,喀麦隆,birthPlace
2049,乔治·伽莫夫,哥廷根大学,workPlace
2050,雅克·路易·朗东,日内瓦,deathPlace
2051,黄炎培,姚维钧,spouse
2052,吴芮,吴臣,child
2053,轩历基·布斯,巴西,birthPlace
2054,李畅,郭鏦,spouse
2055,比约恩斯彻纳·比昂松,巴黎,deathPlace
2056,纪尧姆·德索泰尔,里昂,deathPlace
2057,朱塞佩·罗西,新泽西州,birthPlace
2058,曾其祥,中国,birthPlace
2059,欧阳娜娜,欧阳龙,parent
2060,米卡埃尔·朗德罗,法国,birthPlace
2061,德川纲条,德川纲方,sibling
2062,北濑佳范,日本,birthPlace
2063,施宜生,北宋,birthPlace
2064,施士龄,施士膺,sibling
2065,赫马佛洛狄忒斯,普里阿普斯,sibling
2066,董卓,董擢,sibling
2067,向德泽,向必温,sibling
2068,木村佳乃,东山纪之,spouse
2069,何塞·比利亚隆加·略伦特,西班牙,deathPlace
2070,罗伯特·柯尔,莱斯大学,workPlace
2071,姬蔓·芭奴,沙贾汗,spouse
2072,大江广元,中原师业,child
2073,源赖朝,源希义,sibling
2074,阿里阿德涅,帕西淮,parent
2075,李贤宰,忠清南道,birthPlace
2076,罗杰·潘洛斯,伦敦国王学院,workPlace
2077,儒勒·雷米,叙雷讷,deathPlace
2078,荣德帝姬,宋钦宗,sibling
2079,赤德松赞,藏玛,child
2080,李在龙,柳好贞,spouse
2081,迪迪埃·索高拿,阿比让,birthPlace
2082,杜淳,杜志国,parent
2083,胡善祥,永清公主,child
2084,塔拜,穆库什,sibling
2085,平敦盛,平经俊,sibling
2086,石笑天,中国,birthPlace
2087,安茹的玛格丽特,伊莎贝拉，洛林女公爵,parent
2088,卡洛斯·雷加达斯,墨西哥,birthPlace
2089,邓莲如,唐明治,spouse
2090,约翰·霍华德·诺思罗普,哥伦比亚大学,workPlace
2091,阿井达也,日本,birthPlace
2092,藤本主税,山口县,birthPlace
2093,松平赖恕,德川齐昭,sibling
2094,克劳德·香农,梅得福镇,deathPlace
2095,宫泽浩,日本,birthPlace
2096,金森博雄,加州理工学院,workPlace
2097,亚瑟·都铎,约克的伊丽莎白,parent
2098,埃里克·康奈尔,科罗拉多大学博尔德分校,workPlace
2099,李宙哲,北京市,deathPlace
2100,尤根·波兰斯基,索斯诺维茨,birthPlace
2101,金子修介,日本,birthPlace
2102,内藤直树,日本,birthPlace
2103,吴美珩,王华麟,spouse
2104,步骘,步阐,child
2105,周本,唐朝,birthPlace
2106,郑柞,郑根,child
2107,迪迪埃·德罗巴,阿比让,birthPlace
2108,宋美龄,蒋中正,spouse
2109,玲玲,兴兴,spouse
2110,李福荣,中国,birthPlace
2111,理查德·施罗克,美国,birthPlace
2112,程长城,中国,birthPlace
2113,陆皓东,广州,deathPlace
2114,赤德松赞,朗达玛,child
2115,西奥多·冯·卡门,加州理工学院,workPlace
2116,古古,林阳,sibling
2117,高云翔,董璇,spouse
2118,爱德文·苏哲兰,美国,deathPlace
2119,古贺琢磨,日本,birthPlace
2120,胡戈·科万塔伊,玛利亚娜·梅任斯卡,parent
2121,拿斯·积及臣,丹麦,birthPlace
2122,李长春,李慧镝,child
2123,约纳斯·李,挪威,birthPlace
2124,萧统,萧詧,child
2125,斯塔尼斯拉夫·乌拉姆,哈佛大学,workPlace
2126,斯蒂德·马尔布兰克,莫斯克隆,birthPlace
2127,市川大祐,静冈县,birthPlace
2128,盛胤法亲王,文察女王,sibling
2129,索迪里奥斯·卡治亚高斯,希腊,birthPlace
2130,黎肃宗,黎宪宗,parent
2131,赵元僖,扬国大长公主,sibling
2132,孝敬宪皇后,福宜,child
2133,萧妙䂮,萧大连,sibling
2134,松永行,静冈县,birthPlace
2135,卡洛斯·德尔菲诺,圣菲省,birthPlace
2136,雅典娜,阿瑞斯,sibling
2137,大卫·凯恩,布朗大学,workPlace
2138,埃里克·海登,威斯康辛州,birthPlace
2139,山村博土,静冈县,birthPlace
2140,若望八世,罗马市,birthPlace
2141,塞德里克·沙宾,巴黎,birthPlace
2142,邓发,黑茶山,deathPlace
2143,诺森十一世,罗马市,deathPlace
2144,萧军,北京,deathPlace
2145,织田信忠,北畠信雄,sibling
2146,伊恩·默多克,太阳计算机系统公司,workPlace
2147,汤一介,乐黛云,spouse
2148,范凌江,上海,birthPlace
2149,佳子内亲王,秋篠宫悠仁亲王,sibling
2150,道仁法亲王,理子女王,sibling
2151,埃兹奎尔·加雷,罗萨里奥,birthPlace
2152,福井未菜,原知宏,spouse
2153,敬归,子野,child
2154,居里奥·纳塔,都灵理工大学,workPlace
2155,卡尔十三世,普鲁士的露易沙·乌尔里卡,parent
2156,堀田正睦,堀田正伦,child
2157,朴正熙,朴槿惠,child
2158,隆裕太后,德恆,sibling
2159,古斯塔沃·卡纳莱斯,阿根廷,birthPlace
2160,赵咏贤,冯天祐,spouse
2161,阿巴泰,穆库什,sibling
2162,泽田和树,爱知县,birthPlace
2163,吴宪,吴严彩韵,spouse
2164,爱德华四世,西西莉·纳维尔,parent
2165,约瑟夫·卡约,马梅尔,deathPlace
2166,萨姆·霍利斯,英格兰,deathPlace
2167,蔡亚佳度,蔡璋,sibling
2168,武飞,上海,birthPlace
2169,孙权,孙坚,parent
2170,弗里德里希·威廉·贝塞尔,柯尼斯堡大学,workPlace
2171,利兰·哈特韦尔,福瑞德哈金森肿瘤研究中心,workPlace
2172,林家圣,中华民国,birthPlace
2173,赵本山,马丽娟,spouse
2174,后黎庄宗,范氏玉琼,parent
2175,米勒德·菲尔莫尔,卡洛琳·菲尔莫尔,spouse
2176,白井淳,日本,birthPlace
2177,纣,武庚,child
2178,曹熊,曹熊,sibling
2179,阿奴律陀,爱嘎玛黑蒂,spouse
2180,杜雯惠,陈锦鸿,spouse
2181,米山智,日本,birthPlace
2182,克雷芒十四世,圣阿尔坎杰洛·迪罗马涅,birthPlace
2183,霍英东,霍震霆,child
2184,罗伯特·鲁宾逊,曼彻斯特大学,workPlace
2185,郑松,郑桧,sibling
2186,杨丽华,杨广,sibling
2187,焦姣,黄宗迅,spouse
2188,谢国樑,谢修平,parent
2189,佐野优子,日本,birthPlace
2190,桑一庆,台湾,birthPlace
2191,高淑妃,天顺帝,spouse
2192,维达尔·白兰士,瓦尔省,deathPlace
2193,太田宏介,日本,birthPlace
2194,周穆王,周昭王,parent
2195,郭暧,郭曜,sibling
2196,孙升准,大韩民国,birthPlace
2197,禾路,华伦西亚,birthPlace
2198,莱昂纳多·克莱洛克,纽约,birthPlace
2199,阮福濒,朱氏媛,spouse
2200,黄烨军,中华人民共和国,birthPlace
2201,渡部英麿,广岛县,birthPlace
2202,惠徵,照祥,child
2203,石破茂,石破二朗,parent
2204,章国明,香港,birthPlace
2205,韩国魏国大长公主,宋神宗,sibling
2206,谢金燕,林见如,parent
2207,永璘,固伦和静公主,sibling
2208,卢志轩,香港,birthPlace
2209,松山博明,京都府,birthPlace
2210,谷超豪,胡和生,spouse
2211,顾操,上海,birthPlace
2212,西恩·马克斯,新西兰,birthPlace
2213,马尔科·范巴斯滕,乌得勒支,birthPlace
2214,德川珠姬,德川忠长,sibling
2215,陈洁如,蒋中正,spouse
2216,横谷政树,京都府,birthPlace
2217,杰米·钟,旧金山,birthPlace
2218,姜灏,中华人民共和国,birthPlace
2219,巴沙尔·阿萨德,阿斯玛·阿萨德,spouse
2220,玛琳娜·茨维塔耶娃,俄罗斯帝国,birthPlace
2221,堀川真理,日本,birthPlace
2222,邓丽君,邓枢,parent
2223,普皮恩努斯,罗马,deathPlace
2224,杨超声,中华人民共和国,birthPlace
2225,北川进,日本,birthPlace
2226,米高·查洛,大溪地,birthPlace
2227,佐野理平,日本,birthPlace
2228,野见山秀树,鹿児岛县,birthPlace
2229,许万权,大连,birthPlace
2230,胡文虎,胡仙,child
2231,城文,天城文,child
2232,习仲勋,习乾平,child
2233,司马炎,司马昭,parent
2234,路易莎·内奇布,法国,birthPlace
2235,岛津齐兴,松平胜善,sibling
2236,奇诚庸,韩国,birthPlace
2237,君士坦丁六世,伊琳娜女皇,parent
2238,竹田恆治,冈田几美子,spouse
2239,摩顿·柏达臣,挪威,birthPlace
2240,清都公主,阎立本,child
2241,洼田龙二,日本,birthPlace
2242,佐藤晃大,日本,birthPlace
2243,大卫·休伯尔,哈佛大学,workPlace
2244,许怀欣,许冠杰,parent
2245,琳妮·雷德·班克斯,奥姆里·史蒂芬生,child
2246,孝景王皇后,王儿姁,sibling
2247,罗伯特·梅特卡夫,帕罗奥多研究中心,workPlace
2248,田中信孝,日本,birthPlace
2249,波恩哈德·黎曼,哥廷根大学,workPlace
2250,赤都松赞,芒松芒赞,parent
2251,尤里·德约卡夫,里昂,birthPlace
2252,王彩桦,黄品文,spouse
2253,李恒滙,香港,birthPlace
2254,孛儿帖,德薛禅,parent
2255,云和公主,朱常溆,sibling
2256,温玄烨,温兆宇,parent
2257,亚历山大六世,教宗国,deathPlace
2258,爱德加二世,阿加莎,parent
2259,敏惠恭和元妃,孝庄文皇后,sibling
2260,岛津纲贵,町田久俦,child
2261,林惠,林阳,sibling
2262,大谷武大,日本,birthPlace
2263,欧阳耀冲,英属香港,birthPlace
2264,梁倬轩,英属香港,birthPlace
2265,海恒博,海文启,parent
2266,林秀玲,姚卓君,spouse
2267,西蒙·考克斯,雷丁,birthPlace
2268,菲利普·津巴多,哥伦比亚大学,workPlace
2269,昭献贵妃,永乐帝,spouse
2270,魏武侯,魏文侯,parent
2271,埃马纽埃尔·珀蒂,法国,birthPlace
2272,何晏,金乡公主,spouse
2273,杰克·凯沃基安,亨利·福特医院,workPlace
2274,梁勇基,日本,birthPlace
2275,理查德·卡普,柏克莱加州大学,workPlace
2276,尚居仁,尚储,sibling
2277,赫斯提亚,瑞亚,parent
2278,云比达,巴希亚,birthPlace
2279,向坤功,尚兰丛,child
2280,豪尔赫·路易斯·博尔赫斯,瑞士,deathPlace
2281,阿巴奥·连干·马田斯,巴西,birthPlace
2282,教仁法亲王,闲院宫爱仁亲王,sibling
2283,允禵,固伦温宪公主,sibling
2284,郑根,郑栐,child
2285,藤原定子,一条天皇,spouse
2286,基思·坎贝尔,萨塞克斯大学,workPlace
2287,曾志朗,洪兰,spouse
2288,孝敬宪皇后,福惠,child
2289,林仙保,林珂萍,child
2290,诸葛恪,诸葛建,child
2291,西谷隆之,日本,birthPlace
2292,李侑菲,李洪宪,parent
2293,邹韬奋,邹家华,child
2294,朝鲜世宗,孝宁大君,sibling
2295,织田信长,乃夫殿,sibling
2296,朱挺,大连,birthPlace
2297,樱井孝司,静冈县,birthPlace
2298,尹迪辛达,荷兰,birthPlace
2299,教宗福禄,希腊,birthPlace
2300,汪精卫,陈璧君,spouse
2301,菲腊比·辛坦拿,巴西,birthPlace
2302,若,巴西,birthPlace
2303,高锡·萨路斯基,普里莱普,birthPlace
2304,玛丽·都铎,路易十二,spouse
2305,陶勇,上海市,deathPlace
2306,薛仁杲,薛举,parent
2307,比尔·奈,行星学会,workPlace
2308,清水武士,山梨县,birthPlace
2309,胡适,江冬秀,spouse
2310,瓦西里·康斯坦丁诺维奇·布柳赫尔,莫斯科,deathPlace
2311,苏卢,阿奴律陀,parent
2312,黑木美沙,赤西仁,spouse
2313,恩斯特·伯利斯·柴恩,牛津大学,workPlace
2314,圣海伦纳,巴勒斯坦,birthPlace
2315,佐藤庆明,大坂府,birthPlace
2316,阿部正耆,阿部正功,child
2317,林庆麟,香港,birthPlace
2318,玛丽·路易莎,拿破崙一世,spouse
2319,第一代约克公爵什鲁斯伯里的理查,伊丽莎白·伍德维尔,parent
2320,江泽民,江绵康,child
2321,密姬,齐懿公,child
2322,浦田尚希,县,birthPlace
2323,今村博治,滋贺县,birthPlace
2324,侯宝林,连秀贞,spouse
2325,连拿度·干卡维斯·菲里克斯,巴西,birthPlace
2326,长谷川治久,兵库县,birthPlace
2327,左塞尔,尼玛厄萨普,parent
2328,斯坦尼斯瓦夫一世,安娜·加布罗诺斯瓦卡,parent
2329,白洁,河北,birthPlace
2330,恩佐·贝阿尔佐特,意大利,deathPlace
2331,帕西瓦尔·罗威尔,美国,deathPlace
2332,奥洛夫·梅尔贝里,古尔斯蓬,birthPlace
2333,司马道子,武昌公主,sibling
2334,马尔克·奥莱尔·斯坦因,阿富汗,deathPlace
2335,贞明皇后,大正天皇,spouse
2336,高田荣二,日本,birthPlace
2337,森保洋,日本,birthPlace
2338,邑姜,商朝,birthPlace
2339,黄显声,重庆,deathPlace
2340,声姜,鲁文公,child
2341,寿宁公主,明恭宗,sibling
2342,陈一新,香港,birthPlace
2343,阮福溱,阮福淍,child
2344,川岛浪速,川岛福子,spouse
2345,内山胜,日本,birthPlace
2346,贝蒂·米勒,美国,birthPlace
2347,中森大介,日本,birthPlace
2348,赫顿·阿普,马克斯·普朗克天体物理研究所,workPlace
2349,图普六世,哈拉埃瓦卢·马塔阿霍,parent
2350,埃里克·皮亚考斯基,俄亥俄州,birthPlace
2351,帕斯卡·苏巴保拿,瑞士,birthPlace
2352,凯西·希尔顿,妮琪·希尔顿,child
2353,青木真也,日本,birthPlace
2354,阮福景,阮福晙,sibling
2355,菅野拓真,日本,birthPlace
2356,惠提黎惠特,提兹卡特兰·米亚华辛,parent
2357,郭沫若,郭平英,child
2358,槃罗茶遂,占婆,birthPlace
2359,侯耀文,袁茵,spouse
2360,近卫基实,藤原圣子,sibling
2361,罗纳德·费雪,伦敦,birthPlace
2362,阮福淳,阮福暲,sibling
2363,亚兰字母,索丹字母,child
2364,德川珠姬,德川和子,sibling
2365,恽珠,完颜廷璐,spouse
2366,弗里德里希·奥古斯特·凯库勒·冯·斯特拉多尼茨,波恩大学,workPlace
2367,塚野真树,鸟取县,birthPlace
2368,叔姜,鲁庄公,spouse
2369,汤·韦迪加,咸郡,birthPlace
2370,真下佐登史,群马县,birthPlace
2371,乔治·肖,牛津大学,workPlace
2372,D·J·斯塔比雷,纽约市,birthPlace
2373,西川润之,日本,birthPlace
2374,大西忠生,日本,birthPlace
2375,诸葛瑾,诸葛乔,child
2376,织田信秀,犬山殿,child
2377,寺田周平,日本,birthPlace
2378,郑欣宜,郑少秋,parent
2379,朱峥嵘,上海,birthPlace
2380,吉尔伯特·牛顿·路易士,麻省理工学院,workPlace
2381,帕尔米罗·陶里亚蒂,苏联,deathPlace
2382,潘基文,柳淳泽,spouse
2383,周信芳,周采藻,child
2384,庄毅,辽宁,birthPlace
2385,布兰卡二世,法兰西,deathPlace
2386,罗志焜,香港,birthPlace
2387,邵广昭,中央研究院,workPlace
2388,黎泽伦,香港,birthPlace
2389,包绶,包耆年,child
2390,贾乃亮,李小璐,spouse
2391,德米·德齐乌,荷兰,birthPlace
2392,加文·胡德,南非,birthPlace
2393,公启法亲王,高觉女王,sibling
2394,章瑛,彭亨州,birthPlace
2395,神田文之,山梨县,birthPlace
2396,贝丁·图穆,喀麦隆,birthPlace
2397,琳达·巴克,福瑞德哈金森肿瘤研究中心,workPlace
2398,胡夫,荷努森,spouse
2399,绪形直人,绪形拳,parent
2400,武田信繁,武田信基,sibling
2401,管虎,梁静,spouse
2402,平聪,日本,birthPlace
2403,米海尔七世,尤多西亚·马克林伯利提萨,parent
2404,佩蒂纳克斯,罗马,deathPlace
